,Cluster,Organization,Conditionality,Restriction,Delivery mechanism,"Status (Completed, Ongoing, planned)",April Individuals,Region,District
0,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,420,Awdal,Borama
1,Food security,DRC,Cash for Work,Unrestricted,Unspecified,ongoing,2100,Awdal,Lughaye
2,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,11900,Bakool,Ceelbarde
3,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,5220,Bakool,Xudur
4,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,17500,Bakool,Xudur
5,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2784,Bakool,Xudur
6,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,390,Bakool,Xudur
7,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Bakool,Rab Dhuure
8,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,12,Bakool,Tayeeglow
9,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Bakool,Waajid
10,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,6,Bakool,Waajid
11,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,50,Bakool,Waajid
12,Food security,WVI,Unconditional,Unrestricted,Voucher,ongoing,800,Bakool,Waajid
13,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,1540,Banadir,Cabdulcasiis
14,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,365,Banadir,Cabdulcasiis
15,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Daynille
16,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,10262,Banadir,Dharkenley
17,Food security,IOM,Unconditional,Unrestricted,Mobile money transfer,ongoing,2940,Banadir,Dharkenley
18,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,365,Banadir,Dharkenley
19,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hawl Wadaag
20,Protection,Qatar Charity,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hawl Wadaag
21,Food security,ACF,Unconditional,Unrestricted,Unspecified,ongoing,7000,Banadir,Hodan
22,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Hodan
23,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Kaaraan
24,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Shibis
25,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Shingani
26,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Waaberi
27,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Wadajir
28,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Wardhiigleey
29,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Xamar Jabjab
30,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Xamar Weyne
31,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,364,Banadir,Yaaqshiid
32,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,810,Bari,Bossaso
33,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,5400,Bari,Bossaso
34,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,300,Bari,Bossaso
35,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,600,Bari,Qardho
36,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,3600,Bari,Qardho
37,Food security,IRC,Unconditional,Unrestricted,e-payment,ongoing,1800,Bari,Qardho
38,Food security,NCA,Unconditional,Unspecified,Unspecified,ongoing,1200,Bari,Qardho
39,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
40,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
41,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
42,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,390,Bay,Baidoa
43,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,6000,Bay,Baidoa
44,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,12000,Bay,Baidoa
45,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,27600,Bay,Baidoa
46,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,14586,Bay,Baidoa
47,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,237,Bay,Baidoa
48,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,1200,Hiraan,Bulo Burto
49,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,10500,Hiraan,Bulo Burto
50,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,21000,Lower Juba,Afmadow
51,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,3300,Lower Juba,Afmadow
52,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,330,Lower Juba,Afmadow
53,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,60,Lower Juba,Afmadow
54,Food security,SI,Unconditional,Unrestricted,Mobile money transfer,ongoing,6330,Lower Juba,Afmadow
55,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
56,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Xudun
57,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
58,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,4572,Bay,Buur Hakaba
59,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,6000,Bay,Buur Hakaba
60,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,54,Bay,Buur Hakaba
61,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing, ,Bay,Buur Hakaba
62,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
63,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,36,Bay,Diinsoor
64,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,167,Galgaduud,Cabudwaaq
65,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,124,Galgaduud,Cadaado
66,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
67,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
68,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,0,Gedo,Baardheere
69,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,5532,Gedo,Baardheere
70,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,0,Gedo,Belet Xaawo
71,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,100,Gedo,Belet Xaawo
72,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,2160,Gedo,Doloow
73,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Sool,Laascanood
74,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,0,Gedo,Ceel Waaq
75,Food security,NAPAD,Unconditional,Unspecified,Unspecified,ongoing,1800,Gedo,Ceel Waaq
76,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,14400,Gedo,Luuq
77,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,0,Gedo,Luuq
78,Food security,VSF-Suisse,Cash for Training,Unspecified,Unspecified,ongoing,100,Gedo,Luuq
79,Food security,WVI,Cash for Work,Restricted,Voucher,ongoing,300,Gedo,Luuq
80,Food security,WVI,Cash for Training,Unrestricted,Voucher,ongoing,247,Gedo,Luuq
81,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,6720,Hiraan,Belet Weyne
82,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,1800,Hiraan,Belet Weyne
83,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,287,Hiraan,Belet Weyne
84,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
85,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
86,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,2796,Hiraan,Bulo Burto
87,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,264,Hiraan,Bulo Burto
88,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,16644,Lower Juba,Badhaadhe
89,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2274,Lower Juba,Jamaame
90,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
91,Food security,ACTED,Unconditional,Unrestricted,Mobile money transfer,ongoing,12000,Lower Juba,Kismayo
92,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,2088,Lower Juba,Kismayo
93,Food security,SIF,Unconditional,Unrestricted,e-payment,ongoing,2202,Lower Juba,Kismayo
94,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
95,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,4068,Lower Shabelle,Afgoye
96,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,900,Lower Shabelle,Afgoye
97,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,408,Lower Shabelle,Afgoye
98,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,225,Lower Shabelle,Afgoye
99,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,6,Lower Shabelle,Barawe
100,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,completed,,Nugaal,Garowe
101,Food security,SWISSO KALMO,Unconditional,Unrestricted,Voucher,ongoing,6000,Lower Shabelle,Qoryoley
102,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,174,Middle Juba,Bu'aale
103,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,1440,Middle Juba,Jilib
104,Food security,WOCCA,Unconditional,Unrestricted,Voucher,ongoing,6498,Middle Shabelle,Balcad
105,Food security,DRC,Cash for Work,Unspecified,Unspecified,ongoing,900,Middle Shabelle,Jowhar
106,Multisector/ multipurpose,UNDP,Unconditional,Unrestricted,Unspecified,completed,,Togdheer,Burco
107,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,250,Middle Shabelle,Jowhar
108,Food security,WOCCA,Cash for Work,Unrestricted,Voucher,ongoing,4422,Middle Shabelle,Jowhar
109,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,12,Mudug,Galdogob
110,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,13800,Mudug,Gaalkacyo
111,Food security,DRC,Unconditional,Unrestricted,Unspecified,ongoing,2700,Mudug,Gaalkacyo
112,Food security,OTHERS,Unconditional,Unrestricted,Unspecified,ongoing,7830,Mudug,Gaalkacyo
113,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
114,Food security,IRC,Unconditional,Unrestricted,Mobile money transfer,ongoing,16440,Mudug,Gaalkacyo
115,Food security,ADRA,Unconditional,Unrestricted,Mobile money transfer,ongoing,4002,Sool,Laascanood
116,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
117,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Sool,Laascanood
118,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,130,Sool,Laascanood
119,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Togdheer,Burco
120,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Gedo,Doloow
121,Protection,UNDP,Unspecified,Unspecified,Unspecified,ongoing,1200,Mudug,Gaalkacyo
122,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Sool,Laascanood
123,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Mudug,Gaalkacyo
124,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Togdheer,Burco
125,Protection,QATAR CHARITY,Unconditional,Unrestricted,e-payment,ongoing,163,Mudug,Gaalkacyo
126,Multisector/ multipurpose,UNDP,Unspecified,Unspecified,Unspecified,ongoing,600,Gedo,Doloow
127,Food security,ADESO,Unconditional,Unrestricted,Mobile money transfer,ongoing,13993,Mudug,Hobyo
128,Food security,CESVI,Unconditional,Unrestricted,Mobile money transfer,ongoing,3600,Mudug,Hobyo
129,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
130,Multisector/ multipurpose,UNDP,Conditional ,Restricted,Unspecified,ongoing,1200,Mudug,Gaalkacyo
