REG_NAME,REG_CODE,REG_ALT,DIST_NAME,DIS_CODE
Awdal,11,,Baki,1102
Awdal,11,,Borama,1101
Awdal,11,,Lughaye,1103
Awdal,11,,Zeylac,1104
Bakool,25,,Ceel Barde,2502
Bakool,25,,Rab Dhuure,2505
Bakool,25,,Tayeeglow,2503
Bakool,25,,Waajid,2504
Bakool,25,,Xudur,2501
Banadir,22,Banaadir,Banadir,22
Bari,16,,Bandarbeyla,1602
Bari,16,,Bossaso,1601
Bari,16,,Caluula,1603
Bari,16,,Iskushuban,1604
Bari,16,,Qandala,1605
Bari,16,,Qardho,1606
Bay,24,,Baydhaba,2401
Bay,24,,Buur Hakaba,2402
Bay,24,,Diinsoor,2403
Bay,24,,Qansax Dheere,2404
Galgaduud,19,Galgadud,Cabudwaaq,1902
Galgaduud,19,Galgadud,Cadaado,1903
Galgaduud,19,Galgadud,Ceel Buur,1904
Galgaduud,19,Galgadud,Ceel Dheer,1905
Galgaduud,19,Galgadud,Dhuusamarreeb,1901
Gedo,26,,Baardheere,2602
Gedo,26,,Belet Xaawo,2603
Gedo,26,,Ceel Waaq,2604
Gedo,26,,Doolow,2605
Gedo,26,,Garbahaarey,2601
Gedo,26,,Luuq,2606
Hiraan,20,Hiiraan,Belet Weyne,2001
Hiraan,20,Hiiraan,Bulo Burto,2002
Hiraan,20,Hiiraan,Jalalaqsi,2003
Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Bu'aale,2701
Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Jilib,2702
Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Saakow,2703
Juba Hoose,28,"Lower Juba, Jubbada Hoose",Afmadow,2802
Juba Hoose,28,"Lower Juba, Jubbada Hoose",Badhaadhe,2803
Juba Hoose,28,"Lower Juba, Jubbada Hoose",Jamaame,2804
Juba Hoose,28,"Lower Juba, Jubbada Hoose",Kismaayo,2801
Mudug,18,,Gaalkacyo,1801
Mudug,18,,Galdogob,1802
Mudug,18,,Hobyo,1803
Mudug,18,,Jariiban,1804
Mudug,18,,Xarardheere,1805
Nugaal,17,Nugal,Burtinle,1702
Nugaal,17,Nugal,Eyl,1703
Nugaal,17,Nugal,Garoowe,1701
Sanaag,15,Sanag,Ceel Afweyn,1502
Sanaag,15,Sanag,Ceerigaabo,1501
Sanaag,15,Sanag,Laasqoray,1503
Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Adan Yabaal,2102
Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Balcad,2103
Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Cadale,2104
Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Jowhar,2101
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Afgooye,2302
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Baraawe,2303
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Kurtunwaarey,2304
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Marka,2301
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Qoryooley,2305
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Sablaale,2306
Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Wanla Weyn,2307
Sool,14,,Caynabo,1402
Sool,14,,Laas Caanood,1401
Sool,14,,Taleex,1403
Sool,14,,Xudun,1404
Togdheer,13,Tog-dheer,Burco,1301
Togdheer,13,Tog-dheer,Buuhoodle,1302
Togdheer,13,Tog-dheer,Owdweyne,1303
Togdheer,13,Tog-dheer,Sheikh,1304
Woqooyi Galbeed,12,West Galbeed,Berbera,1202
Woqooyi Galbeed,12,West Galbeed,Gebiley,1203
Woqooyi Galbeed,12,West Galbeed,Hargeysa,1201
